[1013/143214:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/143619:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/145413:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/145533:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/145802:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/145922:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/150555:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/172054:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/172203:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/172240:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/172736:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/173036:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/173253:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/173416:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/173850:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/174011:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/175006:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/175723:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/183459:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/183625:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/124504:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/124611:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/125132:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/125536:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/125724:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/125810:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/125900:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/130026:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/130322:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/130951:ERROR:file_io.cc(30)] read: expected 4, observed 0
